"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Nuevo atributo"
"0","2023-03-09T17:44:39-04:00",5.6622345931828,-67.5757937785238,626060.912350656,657726.42251829,,
"0","2023-03-09T17:46:02-04:00",5.66251915879548,-67.5756848137826,626092.407681649,657738.41528607,,
"0","2023-03-09T17:49:35-04:00",5.66271830722606,-67.57596178184,626114.353173021,657707.681696148,,
"02","2023-03-09T17:21:37-04:00",5.66076813731343,-67.5758538767695,625898.743300808,657720.163164944,"4,3",
"10920026","2023-03-09T17:19:11-04:00",5.66038315650076,-67.5756209436804,625856.237490393,657746.069498355,"1,3",
"12629786","2023-03-09T17:12:28-04:00",5.6596660008654,-67.5761527754366,625776.793879127,657687.353015207,"1,3",
"13058281","2023-03-09T17:32:04-04:00",5.66097802016884,-67.5761339999735,625921.87491853,657689.077103124,,
"14565989","2023-03-09T17:14:01-04:00",5.65996955148876,-67.5761909130961,625810.34849538,657683.046233549,"1,3",
"14650557","2023-03-09T17:34:07-04:00",5.6610981747508,-67.5761925056577,625935.145067604,657682.563874652,"4,3",
"16767573","2023-03-09T17:28:24-04:00",5.66073762718588,-67.5761281326413,625895.295166134,657689.792198648,"1,3",
"19054513","2023-03-09T17:26:23-04:00",5.66055907029361,-67.5763518262841,625875.490573315,657665.062124,"1,3",
"19580601","2023-03-09T17:27:17-04:00",5.66065041348338,-67.5763323996216,625885.596079472,657667.189250321,"1,3",
"19805896","2023-03-09T17:39:15-04:00",5.66158122383058,-67.5764621514827,625988.484769642,657652.56437121,"1,3",
"2","2023-03-09T17:42:21-04:00",5.66173687577248,-67.5760907493532,626005.796784967,657693.662201157,"1,3",
